Company,Model,Varient,Year,Price,Kms_driven,Fuel_type,Transmission,Ownership,OwnershipLE,Rating,State,Car_Age,Kms_Bucket,Price_log,Kms_driven_log
Renault,Kwid,RXT 0.8,2016,257000,110000,Petrol,Manual,2nd owner,2,CARS24 Assured,Chennai,9,Very High,12.456835254920371,11.608244735642321
Hyundai,i10,MAGNA 1.1,2016,360000,49090,Petrol,Manual,1st owner,1,CARS24 Assured,Bengaluru,9,Medium,12.793862088206213,10.801430997592224
Maruti,Celerio,VXI,2022,550000,36600,Petrol,Manual,1st owner,1,Verified Dealer,Nashik,3,Medium,13.217675375388819,10.50783084142058
Toyota,Innova,,2018,1268000,85160,Diesel,Manual,1st owner,1,CARS24 Assured,Noida,7,High,14.05295220262253,11.352298861540632
Maruti,New,,2021,443000,35970,Petrol,Manual,1st owner,1,CARS24 Assured,3,4,Medium,13.001327306361068,10.490468337248462
Hyundai,Grand,1.2 SPORTZ PRIME EDITION VTVT,2016,459000,58410,Petrol,Manual,1st owner,1,CARS24 Assured,Yeswanthpur,9,High,13.036807667689546,10.975259507243907
Tata,Tiago,XZ PLUS PETROL,2020,475000,35210,Petrol,Manual,1st owner,1,CARS24 Assured,Noida,5,Medium,13.07107218827772,10.469113812768233
Maruti,Wagon,VXI,2015,320000,42670,Petrol,Manual,1st owner,1,Verified Dealer,Bhubaneswar,10,Medium,12.676079399771027,10.661274811576522
Skoda,Rapid,ELEGANCE 1.6 MPI MT,2013,277000,45050,Petrol,Manual,2nd owner,2,CARS24 Assured,Delhi,12,Medium,12.531776395271262,10.71555046034839
Maruti,Baleno,DELTA PETROL 1.2,2021,538000,34700,Petrol,Manual,1st owner,1,CARS24 Assured,Gurugram,4,Medium,13.195615697878253,10.454523783963511
Tata,PUNCH,CREATIVE MT,2023,839000,39970,Petrol,Manual,1st owner,1,CARS24 Assured,Bengaluru,2,Medium,13.639967177343745,10.595909470156478
Tata,Tiago,XZ PETROL,2019,387000,48600,Petrol,Manual,1st owner,1,CARS24 Assured,Gurugram,6,Medium,12.866182555987908,10.791399385808587
Mahindra,XUV700,AX 7 LUXURY P AT 7 STR,2023,2150000,23390,Petrol,Auto,2nd owner,2,Verified Owner,Pune,2,Medium,14.580978865220017,10.06010661197771
Mahindra,XUV700,AX 7 LUXURY P AT 7 STR,2023,2386000,39040,Petrol,Auto,2nd owner,2,Verified Owner,Tirunelveli,2,Medium,14.685129300751393,10.572367654953075
Maruti,Wagon,LXI CNG,2013,232000,73100,Petrol,Manual,1st owner,1,Verified Owner,Pradesh,12,High,12.354496960983985,11.199597325534862
Hyundai,Elite,,2015,338000,62460,Petrol,Manual,1st owner,1,CARS24 Assured,Delhi,10,High,12.73080413304066,11.042297640955464
Maruti,Alto,LXI,2014,205000,45070,Petrol,Manual,2nd owner,2,CARS24 Assured,Vadodara,11,Medium,12.230770136157428,10.71599430314656
Hyundai,i10,MAGNA 1.1,2013,240000,70150,Petrol,Manual,1st owner,1,CARS24 Assured,Ahmedabad,12,High,12.388398368982115,11.1584053405965
Hyundai,Eon,ERA +,2018,241000,82420,Petrol,Manual,2nd owner,2,Verified Owner,Gujarat,7,High,12.392556361841777,11.319595537796637
KIA,CARENS,PRESTIGE 1.4 PETROL 7 STR,2022,1161000,35450,Petrol,Manual,1st owner,1,CARS24 Assured,Hyderabad,3,Medium,13.9647931220061,10.475906740307126
Tata,Tiago,XZ PLUS CNG,2022,600000,43350,CNG,Manual,1st owner,1,CARS24 Assured,Delhi,3,Medium,13.304686600863562,10.677085049993375
Mahindra,Kuv100,K2 D 6 STR,2017,267000,110000,Diesel,Manual,1st owner,1,Verified Owner,Ghaziabad,8,Very High,12.495007682693725,11.608244735642321
Hyundai,Elite,ASTA 1.2,2016,477000,63570,Petrol,Manual,2nd owner,2,CARS24 Assured,Pune,9,High,13.07527386630434,11.059912670497306
Tata,PUNCH,,2024,666000,2560,Petrol,Auto,1st owner,1,Verified Owner,Vansda,1,Low,13.4090464510229,7.848153086199526
Maruti,FRONX,DELTA PLUS 1.2L AGS,2023,753000,9190,Petrol,Auto,1st owner,1,CARS24 Assured,Pune,2,Low,13.531821834802397,9.12598002335811
Hyundai,Creta,SX PLUS 1.6 PETROL,2016,685000,37510,Petrol,Manual,1st owner,1,CARS24 Assured,Garden,9,Medium,13.437175577097312,10.532389502278024
Mahindra,TUV300,T10 DUAL TONE,2017,539000,87880,Diesel,Manual,2nd owner,2,Verified Owner,Rajasthan,8,High,13.197472705176983,11.383738905587196
Honda,Amaze,1.2L I-VTEC S,2014,367000,49340,Petrol,Manual,1st owner,1,CARS24 Assured,Hyderabad,11,Medium,12.813119851828635,10.806510657409378
Hyundai,Xcent,S (O) 1.2,2014,322000,100000,Petrol,Manual,2nd owner,2,CARS24 Assured,Hyderabad,11,High,12.682309930111785,11.51293546492023
Volkswagen,Ameo,,2016,334000,54080,Petrol,Manual,1st owner,1,CARS24 Assured,East,9,High,12.718899265966332,10.898238201670146
Tata,Tiago,XE DIESEL,2019,250000,290000,Diesel,Manual,1st owner,1,Verified Owner,Haryana,6,Very High,12.429220196836383,12.577639650232573
Hyundai,i10,MAGNA 1.2,2012,178000,34900,Petrol,Manual,1st owner,1,CARS24 Assured,Noida,13,Medium,12.08954444723597,10.460270761075149
Honda,Amaze,1.2L I-VTEC S,2015,360000,86210,Petrol,Manual,1st owner,1,CARS24 Assured,Jaipur,10,High,12.793862088206213,11.36455305871911
Hyundai,Elite,ASTA 1.2 DUAL TONE,2017,645000,12730,Petrol,Manual,1st owner,1,CARS24 Assured,Bengaluru,8,Low,13.377007146164305,9.451795243061646
Renault,TRIBER,RXZ,2021,560000,26470,Petrol,Manual,1st owner,1,CARS24 Assured,Noida,4,Medium,13.235693848424024,10.183805073124855
Hyundai,Xcent,SX 1.1 CRDI (O),2014,230000,110000,Diesel,Manual,2nd owner,2,Verified Owner,2,11,Very High,12.345838935721968,11.608244735642321
Maruti,Baleno,ZETA PETROL 1.2,2021,706000,31230,Petrol,Manual,1st owner,1,CARS24 Assured,Whitefield,4,Medium,13.467371932904971,10.349166470257595
Maruti,New,,2020,474000,32180,Petrol,Manual,1st owner,1,CARS24 Assured,Agra,5,Medium,13.06896471037963,10.37913149526554
Maruti,Wagon,VXI AMT,2017,361000,44390,Petrol,Auto,1st owner,1,CARS24 Assured,Rajkot,8,Medium,12.796636007394284,10.700792025170644
Maruti,Ciaz,ZDI+ SHVS,2015,400000,93080,Diesel,Manual,2nd owner,2,Verified Owner,Gujarat,10,High,12.899222326086994,11.441225360805015
Hyundai,Grand,ASTA (O) 1.2 KAPPA VTVT,2015,343000,53840,Petrol,Manual,2nd owner,2,CARS24 Assured,Delhi,10,High,12.745488641595722,10.893790537697386
Honda,City,1.5L I-VTEC VX CVT,2015,585000,63160,Petrol,Auto,1st owner,1,CARS24 Assured,Delhi,10,High,13.279368835614243,11.053442301049815
Volkswagen,Ameo,,2017,339000,83800,Petrol,Manual,1st owner,1,CARS24 Assured,Surat,8,High,12.733758336210744,11.336200219573199
Tata,PUNCH,,2023,762000,32740,Petrol,Auto,2nd owner,2,Verified Owner,Pradesh,2,Medium,13.54370314700388,10.396383394136135
Ford,Ecosport,TITANIUM 1.5L PETROL AT,2015,475000,98540,Petrol,Auto,1st owner,1,CARS24 Assured,Noida,10,High,13.07107218827772,11.498227984209644
Mahindra,XUV300,W6 1.2 PETROL,2019,609000,48580,Petrol,Manual,1st owner,1,CARS24 Assured,Kochi,6,Medium,13.31957518872681,10.79098778694702
Honda,Jazz,1.2L I-VTEC V AT,2016,510000,70830,Petrol,Auto,1st owner,1,CARS24 Assured,Vadapalani,9,High,13.1421679654829,11.168052036959455
KIA,CARENS,PRESTIGE PLUS 1.5 TURBO PETROL IMT 7 STR,2023,1475000,12400,Petrol,Manual,2nd owner,2,CARS24 Assured,Kolkata,2,Low,14.204169225721929,9.425532393502772
Ford,Ecosport,,2015,408000,94600,Diesel,Manual,2nd owner,2,CARS24 Assured,Surat,10,High,12.919024904363686,11.457423325808623
Maruti,Swift,LXI,2019,438000,68110,Petrol,Manual,1st owner,1,CARS24 Assured,3,6,High,12.989976472461,11.128894006259427
Mahindra,Thar,LX HT PETROL 4WD MT,2021,700000,44200,Petrol,Manual,1st owner,1,Verified Owner,Itanagar,4,Medium,13.45883704259595,10.69650269224425
Tata,NEXON,XZ PLUS PETROL,2020,666000,26240,Petrol,Manual,1st owner,1,CARS24 Assured,Ahmedabad,5,Medium,13.4090464510229,10.175078352087965
Mahindra,Thar,LX HT PETROL 4WD MT,2023,1095000,18850,Petrol,Manual,2nd owner,2,CARS24 Assured,Faridabad,2,Low,13.90626583447433,9.844321241866913
Tata,NEXON,KRAZ MT PETROL,2019,549000,60950,Petrol,Manual,1st owner,1,Verified Owner,Rajasthan,6,High,13.215855541983634,11.01782554166572
Volkswagen,Ameo,,2017,424000,32090,Petrol,Manual,1st owner,1,CARS24 Assured,Ahmedabad,8,Medium,12.95749109270188,10.37633089597424
Maruti,Wagon,VXI,2017,313000,47630,Petrol,Manual,1st owner,1,Verified Owner,Gujarat,8,Medium,12.653961664405365,10.771239088745622
Ford,Ecosport,TITANIUM 1.5L PETROL AT,2015,450000,45730,Petrol,Auto,1st owner,1,CARS24 Assured,Noida,10,Medium,13.017005083966255,10.730531683896064
Maruti,Dzire,VXI,2021,572000,71710,Petrol,Manual,1st owner,1,CARS24 Assured,Mumbai,4,High,13.256896018612155,11.180399431835866
Ford,Figo,TITANIUM 1.4 DIESEL,2012,165000,100000,Diesel,Manual,2nd owner,2,Verified Owner,Rajasthan,13,High,12.013706813470414,11.51293546492023
Hyundai,i10,SPORTZ 1.1,2013,279000,35650,Petrol,Manual,2nd owner,2,Verified Owner,Rajahmundry,12,Medium,12.53897064502647,10.481532475939918
Honda,Jazz,1.2L I-VTEC V AT,2015,225000,88080,Petrol,Auto,2nd owner,2,Verified Owner,Punjab,10,High,12.323860125621126,11.386012124647282
Renault,Kwid,RXL,2019,213000,51020,Petrol,Manual,2nd owner,2,CARS24 Assured,Noida,6,High,12.269052139516223,10.839992591660524
Tata,TIGOR,XZA PLUS PETROL,2021,629000,39480,Petrol,Auto,1st owner,1,CARS24 Assured,Coimbatore,4,Medium,13.351888125506433,10.583574822507286
Maruti,Ciaz,VDI +,2015,431000,140000,Diesel,Manual,1st owner,1,Verified Owner,Gwalior,10,Very High,12.973865689268807,11.849404844423074
Renault,Kwid,CLIMBER 1.0 AMT,2019,345000,27980,Petrol,Auto,2nd owner,2,CARS24 Assured,Chennai,6,Medium,12.75130259456002,10.239280987394974
Hyundai,Grand,ASTA (O) 1.2 KAPPA VTVT,2016,442000,38270,Petrol,Manual,1st owner,1,CARS24 Assured,Pune,9,Medium,12.999067423500716,10.5524477082064
Tata,Tiago,XT CNG,2022,524000,49260,CNG,Manual,1st owner,1,CARS24 Assured,Ahmedabad,3,Medium,13.169248871698304,10.804887971915088
Maruti,Baleno,DELTA PETROL 1.2,2023,608000,29390,Petrol,Manual,1st owner,1,CARS24 Assured,Delhi,2,Medium,13.317931805683793,10.288443784012753
Hyundai,i10,MAGNA 1.1,2014,233000,80590,Petrol,Manual,3rd owner,3,Verified Owner,Mehsana,11,High,12.358798024384122,11.297142259728977
Hyundai,Creta,E 1.6 PETROL,2015,530000,86200,Petrol,Manual,3rd owner,3,Verified Owner,Delhi,10,High,13.180634172318978,11.364437057512568
Hyundai,Verna,1.6 EX AT CRDI,2017,890000,78300,Diesel,Auto,1st owner,1,Verified Dealer,Nashik,8,High,13.698977865303197,11.268315653289422
Renault,Duster,85 PS RXZ DIESEL,2019,813000,28830,Diesel,Manual,1st owner,1,CARS24 Assured,Pune,6,Medium,13.608487618541492,10.269206476121777
