Brand,Model,Price,Kms_driven,Fuel_type,Transmission,Ownership,Rating,State
2012 Honda Jazz,1.2L I-VTEC X,₹1.90 lakh,61.54k km,Petrol,Manual,2nd owner,Verified Owner,Mahaveer Ganj Aligarh Uttar Pradesh
2016 Skoda Rapid,AMBITION 1.5 TDI AT,₹4.75 lakh,1.2L km,Diesel,Auto,2nd owner,Verified Owner,Rotary Nagar Khammam Telangana
2014 Mahindra Bolero,ZLX BS-III,₹2.35 lakh,1.1L km,Diesel,Manual,2nd owner,Verified Owner,Sector 18 Gurugram
2016 Maruti Swift,VXI,₹3.68 lakh,41.99k km,Petrol,Manual,1st owner,CARS24 Assured,"Sachin Magdalla Road, Surat"
2011 Honda City,1.5L I-VTEC V MT,₹1.59 lakh,97.85k km,Petrol,Manual,3rd owner,Verified Owner,Sector 18 Gurugram
2018 Datsun Go Plus,T,₹3.26 lakh,26.40k km,Petrol,Manual,1st owner,CARS24 Assured,"Navalur, Chennai"
2019 Hyundai Verna,1.4 EX PETROL,₹5.50 lakh,73.38k km,Petrol,Manual,1st owner,Verified Owner,Baramunda Bhubaneswar Odisha
2021 Maruti Dzire,VXI,₹6.80 lakh,31.30k km,Petrol,Manual,1st owner,Verified Dealer,"Infront of Yummies Dhaba, NH-16, Bhubaneswar"
2018 Volkswagen Polo,,₹5.33 lakh,1.2L km,Petrol,Manual,1st owner,CARS24 Assured,"Upperpally, Attapur, Hyderabad"
2012 Maruti Wagon R 1.0,LXI,₹1.50 lakh,33.58k km,Petrol,Manual,3rd owner,Verified Owner,Kanchrapara Loco Malancha P
2020 Renault Kwid,RXL,₹3.21 lakh,93.63k km,Petrol,Manual,1st owner,Verified Owner,Urban Estate Jind
2012 Hyundai Eon,ERA,₹1.04 lakh,1.4L km,Petrol,Manual,3rd owner,Verified Owner,Barra Kanpur
2015 Honda City,1.5L I-DTEC V,₹5.70 lakh,82.76k km,Diesel,Manual,2nd owner,Verified Dealer,"Kushalpur Chowk, Raipur"
2021 Nissan MAGNITE,XL,₹4.76 lakh,57.57k km,Petrol,Manual,1st owner,CARS24 Assured,"Naroda, Ahmedabad"
2013 Hyundai i20,SPORTZ 1.2,₹1.99 lakh,84.97k km,Petrol,Manual,2nd owner,Verified Owner,GCF Estate Jabalpur Madhya Pradesh
2022 Hyundai Creta,SX (O) 1.5 DIESEL,₹12.50 lakh,1.0L km,Diesel,Manual,1st owner,Verified Owner,Balidih Bokaro Steel City
2021 Tata Tiago,XT (O) PETROL,₹4.42 lakh,20.79k km,Petrol,Manual,1st owner,CARS24 Assured,"Vaishali, Ghaziabad"
2019 Honda Jazz,1.2L I-VTEC VX CVT,₹6.76 lakh,62.08k km,Petrol,Auto,1st owner,CARS24 Assured,"Bellahalli, Bengaluru"
2016 Maruti Alto 800,LXI,₹2.31 lakh,1.2L km,Petrol,Manual,1st owner,Verified Owner,Sarswati Colony Kota Rajasthan
2018 Maruti Celerio,VXI CNG,₹3.61 lakh,78.72k km,CNG,Manual,1st owner,CARS24 Assured,"Kandivali, Mumbai"
2022 Tata ALTROZ,XM PLUS DIESEL,₹7.02 lakh,43.84k km,Diesel,Manual,1st owner,CARS24 Assured,"Tathawade, Pune"
2019 Renault TRIBER,RXL MT,₹3.50 lakh,2.9L km,Petrol,Manual,1st owner,Verified Owner,Sarvoday Bank Staff Society Mehsana Gujarat
2016 Maruti Baleno,ALPHA PETROL 1.2,₹3.93 lakh,1.1L km,Petrol,Manual,3rd owner,Verified Owner,Sector 18 Gurugram
2010 Honda Civic,1.8L I-VTEC V AT,₹1.42 lakh,1.2L km,Petrol,Auto,2nd owner,Verified Owner,Railway Colony Bhopal
2014 Tata Zest,XT 90PS DIESEL,₹1.31 lakh,1.2L km,Diesel,Manual,2nd owner,Verified Owner,Shiv Nagar Unnao
2018 Ford Figo Aspire,,₹3.63 lakh,1.4L km,Diesel,Manual,1st owner,Verified Owner,Sector 18 Gurugram
2012 Hyundai i20,MAGNA 1.2,₹1.98 lakh,47.69k km,Petrol,Manual,3rd owner,CARS24 Assured,"Regency Anantam, Dombivli East"
2012 Hyundai Eon,D-LITE,₹1.00 lakh,1.0L km,Petrol,Manual,3rd owner,Verified Owner,Panchsheel Nagar Ajmer
2013 Hyundai i20,SPORTZ 1.4 CRDI,₹2.24 lakh,1.4L km,Diesel,Manual,3rd owner,Verified Owner,null
2010 Honda Accord,2.4L I-VTEC MT,₹2.31 lakh,84.43k km,Petrol,Manual,3rd owner,Verified Owner,Ram Nagar Patiala Punjab
2018 Maruti Celerio,VXI AMT,₹2.81 lakh,1.1L km,Petrol,Auto,1st owner,Verified Owner,BJS Colony Jodhpur Rajasthan
2022 Hyundai VENUE,S 1.2,₹6.50 lakh,46.84k km,Petrol,Manual,1st owner,Verified Owner,Amrit Nagar Jodhpur Rajasthan
2013 Maruti Alto 800,LXI,₹1.52 lakh,94.85k km,Petrol,Manual,3rd owner,Verified Owner,Defence Colony Jamnagar Gujarat
2017 Hyundai Eon,ERA +,₹2.21 lakh,67.26k km,Petrol,Manual,1st owner,CARS24 Assured,"Kakkanad, Kochi"
2018 Datsun Redi Go,T (O),₹2.23 lakh,28.73k km,Petrol,Manual,1st owner,Verified Owner,Khurla Kingra Jalandhar Punjab
2012 Renault Duster,110 PS RXL DIESEL,₹2.65 lakh,88.07k km,Diesel,Manual,2nd owner,Verified Dealer,"Shastri Nagar Govind Nagar, Kanpur"
2017 Hyundai Eon,ERA +,₹2.20 lakh,43.29k km,Petrol,Manual,3rd owner,Verified Owner,Visakhapatanam Visakhapatnam Andhra Pradesh
2013 Toyota Etios,GD,₹3.25 lakh,71.79k km,Diesel,Manual,2nd owner,Verified Dealer,"Sultanwind Chowk, Amritsar"
2017 Hyundai Grand i10,,₹2.91 lakh,94.89k km,Diesel,Manual,2nd owner,Verified Owner,Salempur Jalandhar
2010 Maruti Zen Estilo,VXI,₹1.37 lakh,94.52k km,Petrol,Manual,1st owner,Verified Owner,Rani Laxmi Nagar Jhansi
2017 Hyundai Elite i20,ASTA 1.2,₹4.79 lakh,35.12k km,Petrol,Manual,1st owner,CARS24 Assured,"Maharishi Puram, Agra"
2015 Hyundai Eon,MAGNA +,₹1.56 lakh,48.48k km,Petrol,Manual,1st owner,Verified Owner,Lal Ganesh Guwahati Assam
2014 Honda Amaze,1.5L I-DTEC VX,₹2.77 lakh,89.43k km,Diesel,Manual,1st owner,Verified Owner,Bhopal Bhopal Division MP
2014 Hyundai Eon,D-LITE+,₹2.50 lakh,53.29k km,Petrol,Manual,2nd owner,Verified Dealer,"Plot no-788/1355,Sum Hospital, Bhubaneswar"
2023 CITROEN C3,SHINE 1.2 DUAL TONE,₹6.75 lakh,11.04k km,Petrol,Manual,1st owner,Verified Owner,Salaiya Bhopal Madhya Pradesh
2013 Renault Duster,85 PS RXE DIESEL,₹1.89 lakh,1.5L km,Diesel,Manual,2nd owner,Verified Owner,Ankleshwar Piraman Gujarat
2010 Honda City,1.5L I-VTEC V AT,₹2.32 lakh,1.2L km,Petrol,Auto,3rd owner,Verified Owner,Old Rayakottah Hudco Hosur
2019 Maruti Swift,VXI,₹5.00 lakh,40.16k km,Petrol,Manual,2nd owner,Verified Owner,Sector 3 Kurukshetra Haryana
2016 Volkswagen Ameo,,₹3.13 lakh,37.25k km,Petrol,Manual,1st owner,Verified Owner,Juhi Kanpur Uttar Pradesh
2017 Honda City,1.5L I-VTEC V MT,₹5.50 lakh,79.47k km,Petrol,Manual,2nd owner,Verified Owner,Sector 39 Gurugram
2016 Hyundai Elite i20,,₹4.30 lakh,32.55k km,Petrol,Manual,2nd owner,CARS24 Assured,"Paras Downtown Square, Chandigarh"
2017 Renault Kwid,RXT 1.0,₹2.30 lakh,54.72k km,Petrol,Manual,1st owner,CARS24 Assured,"Akshar Party, Rajkot"
2015 Hyundai Verna,FLUIDIC 4S 1.6 VTVT S(O),₹4.24 lakh,71.07k km,Petrol,Manual,1st owner,Verified Owner,6V7C+64M Kota Rajasthan
2020 Honda WR-V,1.5L I-DTEC VX MT,₹6.50 lakh,21.63k km,Diesel,Manual,1st owner,Verified Owner,New Payga Gudi Gwalior Madhya Pradesh
2015 Tata Zest,XT 90PS DIESEL,₹2.02 lakh,89.43k km,Diesel,Manual,1st owner,Verified Owner,Daudpur Alwar Rajasthan
2016 Renault Kwid,RXT 1.0,₹3.17 lakh,36.01k km,Petrol,Manual,1st owner,Verified Dealer,"Kamod Nagar, Nashik"
2019 Renault Kwid,RXT 1.0 (O),₹3.42 lakh,19.64k km,Petrol,Manual,2nd owner,CARS24 Assured,"Thiruverkadu, Chennai"
2014 Maruti Celerio,VXI,₹2.09 lakh,79.13k km,Petrol,Manual,1st owner,Verified Owner,Civil Lines Bareilly Uttar Pradesh
2014 Maruti Alto 800,LXI,₹1.87 lakh,93.01k km,Petrol,Manual,1st owner,Verified Owner,Shubh Aarambh Randesan Gujarat
2010 Skoda Superb,,₹1.95 lakh,1.1L km,Petrol,Manual,3rd owner,Verified Owner,Shanthi Nagar East Hosur
2018 Honda Amaze,1.5L I-DTEC VX,₹6.35 lakh,65.34k km,Diesel,Manual,1st owner,Verified Dealer,"Shiv Colony, Jalgaon"
2012 Maruti Swift Dzire,ZXI,₹3.26 lakh,76.40k km,Petrol,Manual,3rd owner,Verified Owner,Tumkur Tumakuru Karnataka
2024 Nissan MAGNITE,Visia B4D 1.0 Petrol AMT,₹6.60 lakh,4.29k km,Petrol,Auto,1st owner,Verified Owner,Indraprastha Industrial Area Kota Rajasthan
2013 Honda Amaze,1.2L I-VTEC S,₹3.51 lakh,72.37k km,Petrol,Manual,1st owner,Verified Dealer,"RD Circle Tidake Conoly, Nashik"
2022 Maruti S PRESSO,VXI (O),₹4.21 lakh,31.80k km,Petrol,Manual,1st owner,CARS24 Assured,"Kompally, Hyderabad"
2010 Honda CRV,2.4 AWD AT,₹1.55 lakh,6.53k km,Petrol,Auto,3rd owner,Verified Owner,Chümoukedima SeithekemaA
2016 Maruti Swift,VXI,₹2.75 lakh,85.13k km,Petrol,Manual,3rd owner,Verified Owner,Govindpuri Modinagar Uttar Pradesh
2022 Hyundai NEW I20,,₹5.49 lakh,18.77k km,Petrol,Manual,1st owner,Verified Owner,Shibpur Howrah
2016 Honda Brio,S MT,₹3.50 lakh,52.31k km,Petrol,Manual,2nd owner,Verified Dealer,"Kushalpur Chowk, Raipur"
2018 Hyundai Elite i20,,₹4.44 lakh,77.28k km,Petrol,Manual,1st owner,CARS24 Assured,"Dewas Naka, Lasudia Mori"
2020 KIA SELTOS,HTK PLUS 1.5,₹8.05 lakh,94.69k km,Petrol,Manual,1st owner,CARS24 Assured,"Himalaya Mall, Ahmedabad"
2014 Hyundai i10,MAGNA 1.1,₹2.22 lakh,58.56k km,Petrol,Manual,3rd owner,Verified Owner,Sector 30 Gandhinagar Gujarat
2019 Nissan Kicks,XV PREMIUM O DUAL TONE DIESEL,₹7.01 lakh,51.98k km,Diesel,Manual,1st owner,CARS24 Assured,"Thiruverkadu, Chennai"
2024 Hyundai GRAND I10 NIOS,,₹5.35 lakh,7.89k km,Petrol,Manual,1st owner,CARS24 Assured,"Gomti Nagar, Lucknow"
2012 Skoda Rapid,ELEGANCE 1.6 TDI CR MT,₹1.67 lakh,93.68k km,Diesel,Manual,3rd owner,Verified Owner,Housing Board Colony Morena
2019 Maruti Dzire,LXI,₹5.75 lakh,74.50k km,Petrol,Manual,1st owner,Verified Dealer,"Shastri Nagar Govind Nagar, Kanpur"
2017 Maruti Ciaz,ALPHA 1.4 PETROL,₹4.58 lakh,95.33k km,Petrol,Manual,2nd owner,CARS24 Assured,"Regency Anantam, Dombivli East"
2017 Jeep Compass,LIMITED 1.4 PETROL AT,₹8.03 lakh,84.40k km,Petrol,Auto,2nd owner,Verified Owner,Naubasta Kanpur Uttar Pradesh
2023 Nissan MAGNITE,XE,₹4.96 lakh,40.27k km,Petrol,Manual,1st owner,CARS24 Assured,"Mulund West, Mumbai"
2015 Hyundai i20 Active,1.4 S,₹3.72 lakh,1.7L km,Diesel,Manual,1st owner,Verified Owner,Sarswati Colony Kota Rajasthan
2013 Hyundai i20,SPORTZ 1.2,₹3.30 lakh,59.31k km,Petrol,Manual,1st owner,Verified Owner,Sukheshwar Society Mehsana Gujarat
2023 Tata PUNCH,,₹7.65 lakh,12.04k km,Petrol,Manual,1st owner,CARS24 Assured,"Vaishnavi Sapphire Centre, Yeswanthpur"
2021 Maruti Baleno,ZETA PETROL 1.2,₹5.13 lakh,26.72k km,Petrol,Manual,2nd owner,CARS24 Assured,"Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2019 Nissan Kicks,XL DIESEL,₹6.07 lakh,69.04k km,Diesel,Manual,3rd owner,Verified Owner,New Mandi Hapur Uttar Pradesh
2014 Hyundai Grand i10,,₹1.75 lakh,79.50k km,Diesel,Manual,3rd owner,Verified Owner,Foy Sagar Road Ajmer Rajasthan
2018 Hyundai Grand i10,,₹3.66 lakh,27.04k km,Petrol,Manual,2nd owner,CARS24 Assured,"Kakkanad, Kochi"
2018 Honda WR-V,1.5L I-DTEC S MT,₹5.50 lakh,1.0L km,Diesel,Manual,2nd owner,Verified Owner,Santhi Nagar Eluru
2014 Maruti Alto 800,LXI,₹1.75 lakh,1.0L km,Petrol,Manual,3rd owner,Verified Owner,Gathila Kheda Ajmer Division RJ
2010 Maruti Alto,LXI,₹0.50 lakh,1.1L km,Petrol,Manual,3rd owner,Verified Owner,Amritsar Jalandhar Division PB
2017 Maruti Baleno,ALPHA PETROL 1.2,₹4.37 lakh,71.35k km,Petrol,Manual,1st owner,CARS24 Assured,"Tathawade, Pune"
2019 Tata TIAGO NRG,,₹3.31 lakh,52.67k km,Petrol,Manual,1st owner,Verified Owner,Green Park Bareilly
2022 Hyundai NEW I20,ASTA (O) 1.0 TURBO GDI DCT,₹7.50 lakh,52.16k km,Petrol,Auto,1st owner,Verified Dealer,"Infront of Yummies Dhaba, NH-16, Bhubaneswar"
2021 Volkswagen Polo,,₹6.57 lakh,35.79k km,Petrol,Manual,1st owner,CARS24 Assured,"Tathawade, Pune"
2010 Maruti Swift,LXI,₹0.50 lakh,1.1L km,Petrol,Manual,2nd owner,Verified Owner,Fort View Colony Gwalior Madhya Pradesh
2017 Hyundai Grand i10,,₹3.35 lakh,75.13k km,Petrol,Manual,2nd owner,CARS24 Assured,"Akshar Chowk, Akota - Mujmahuda Road, Vadodara"
2016 Honda Jazz,1.2L I-VTEC V,₹3.85 lakh,63.25k km,Petrol,Manual,1st owner,Verified Dealer,"Shashi Nagar, Guruchhaya Colony, Amravati"
2016 Maruti S Cross,ZETA 1.3,₹3.88 lakh,95.63k km,Diesel,Manual,2nd owner,Verified Owner,NSV Visakhapatnam
2024 Nissan MAGNITE,XE AMT EZ Shift,₹6.95 lakh,13.94k km,Petrol,Auto,1st owner,Verified Owner,Shivaji Nagar Jhansi
2018 Honda Jazz,1.2L I-VTEC V,₹7.49 lakh,29.00k km,Petrol,Manual,1st owner,CARS24 Assured,"Kharbi, Nagpur"
2016 Renault Kwid,RXT 1.0,₹2.50 lakh,25.86k km,Petrol,Manual,2nd owner,Verified Owner,Nabapally Barasat West Bengal
2020 Maruti Dzire,VXI AMT,₹5.50 lakh,81.89k km,Petrol,Auto,1st owner,Verified Owner,Naya Ganj Ghaziabad
2014 Hyundai Elite i20,,₹2.25 lakh,96.70k km,Diesel,Manual,4th owner,Verified Owner,Shri Ram Colony Gwalior
2013 Maruti Swift Dzire,VXI,₹3.15 lakh,67.88k km,Petrol,Manual,1st owner,Verified Owner,Vishwalaxmi Nagar Mathura Uttar Pradesh
2019 Maruti Celerio,VXI CNG,₹3.00 lakh,1.8L km,Petrol,Manual,1st owner,Verified Owner,near mangal teerth society gate Bharuch Gujarat
2021 Maruti Swift,ZXI AMT,₹5.69 lakh,40.15k km,Petrol,Auto,2nd owner,CARS24 Assured,"Gomti Nagar, Lucknow"
2020 Maruti Vitara Brezza,,₹6.60 lakh,20.75k km,Petrol,Manual,1st owner,Verified Owner,Aravali Vihar Alwar Rajasthan
2021 Tata ALTROZ,XZ PETROL,₹5.50 lakh,54.14k km,Petrol,Manual,1st owner,Verified Owner,Vinay Nagar Gwalior
2018 Toyota Innova Crysta,,₹10.70 lakh,51.84k km,Petrol,Manual,2nd owner,CARS24 Assured,"Karnavati Club, Ahmedabad"
2012 Toyota Corolla Altis,VL AT PETROL,₹2.00 lakh,1.3L km,Petrol,Auto,2nd owner,Verified Owner,Bhimpore Marwad
2014 Maruti Wagon R 1.0,LXI CNG,₹1.50 lakh,1.9L km,Petrol,Manual,1st owner,Verified Owner,Sisodra Navsari
2011 Tata Indigo ECS,LS TDI,₹0.50 lakh,92.04k km,Diesel,Manual,3rd owner,Verified Owner,M.C.Colony Bhiwani Haryana
2017 Tata TIGOR,XZ (O) PETROL,₹2.59 lakh,95.09k km,Petrol,Manual,3rd owner,Verified Owner,Ranchodray Nagar Ankleshwar Gujarat
2015 Maruti Alto 800,LXI,₹1.75 lakh,1.6L km,Petrol,Manual,1st owner,Verified Owner,Dhola Bhata Ajmer Rajasthan
2013 Hyundai i10,MAGNA 1.2,₹1.50 lakh,82.19k km,Petrol,Manual,3rd owner,Verified Owner,Colonelganj Kanpur Uttar Pradesh
2023 Tata ALTROZ,XZ CNG,₹7.89 lakh,30.45k km,CNG,Manual,1st owner,CARS24 Assured,"Tathawade, Pune"
2017 Hyundai Creta,S PLUS 1.4 DIESEL,₹5.50 lakh,1.4L km,Diesel,Manual,1st owner,Verified Owner,Sector 18 Gurugram
2017 Maruti Swift Dzire,VDI ABS,₹6.25 lakh,86.65k km,Diesel,Manual,2nd owner,Verified Dealer,"Jejurkar Mala, Nashik"
2011 Hyundai i20,MAGNA 1.2,₹1.92 lakh,81.49k km,Petrol,Manual,1st owner,Verified Owner,Arjun Nagar Jalandhar Punjab
2012 Ford Figo,ZXI 1.4 DIESEL,₹1.50 lakh,1.1L km,Diesel,Manual,1st owner,Verified Owner,BJS Colony Jodhpur Rajasthan
2020 Mahindra XUV300,W8 (O) 1.5 DIESEL,₹6.00 lakh,47.53k km,Diesel,Manual,2nd owner,Verified Owner,H89M+PJQ Jemua West Bengal
2011 Skoda Fabia,ELEGANCE 1.2 TDI,₹0.74 lakh,25.50k km,Diesel,Manual,1st owner,Verified Owner,Paota Jodhpur Rajasthan
2015 Maruti Alto K10,VXI,₹2.10 lakh,40.21k km,Petrol,Manual,1st owner,Verified Owner,New Vishnupuri Aligarh
2011 Ford Figo,EXI 1.4 DIESEL,₹1.20 lakh,1.1L km,Diesel,Manual,5th owner,Verified Owner,Kanhaya Kunj Bhusawal Maharashtra
2012 Maruti Wagon R 1.0,LXI CNG,₹2.65 lakh,73.50k km,CNG,Manual,1st owner,Verified Dealer,"Opp Kripa Dham Mandir, Industrial Estate, Kanpur"
2016 Hyundai Grand i10,,₹2.50 lakh,33.12k km,Petrol,Manual,2nd owner,Verified Owner,Ranchi Barganwa Jharkhand
2019 Tata TIAGO NRG,,₹3.66 lakh,29.94k km,Petrol,Manual,1st owner,Verified Owner,Mowa Raipur Chhattisgarh
2015 Maruti Celerio,VXI AMT,₹2.67 lakh,24.71k km,Petrol,Auto,2nd owner,Verified Owner,Ganjipura Jabalpur
2012 Maruti Ritz,VDI,₹3.10 lakh,82.17k km,Diesel,Manual,1st owner,Verified Dealer,"Suchita Nagar , Nashik"
2016 Mahindra XUV500,W6 1.99,₹4.57 lakh,1.3L km,Diesel,Manual,2nd owner,Verified Owner,Chavaj Bharuch Gujarat
2010 Maruti Alto,LXI,₹0.80 lakh,30.15k km,Petrol,Manual,2nd owner,Verified Owner,Adityapur Jamshedpur
2020 Tata NEXON,XZ PLUS PETROL,₹5.20 lakh,59.35k km,Petrol,Manual,2nd owner,Verified Owner,Lashkar Gwalior Madhya Pradesh
2014 Maruti Ritz,VXI,₹1.80 lakh,83.52k km,Petrol,Manual,1st owner,CARS24 Assured,"Newtown, Kolkata"
2015 Hyundai Elite i20,ASTA 1.4 CRDI,₹5.04 lakh,1.7L km,Diesel,Manual,1st owner,Verified Owner,Gugai Salem Tamil Nadu
2012 Maruti Swift Dzire,ZXI,₹3.81 lakh,1.1L km,Petrol,Manual,1st owner,Verified Dealer,"Satpur Samta Nagar, Satpur Colony, Nashik"
2014 Hyundai i10,SPORTZ 1.1,₹2.21 lakh,95.80k km,Petrol,Manual,2nd owner,CARS24 Assured,"Kompally, Hyderabad"
2023 Skoda SLAVIA,ACTIVE 1.0L TSI MT,₹7.99 lakh,15.84k km,Petrol,Manual,1st owner,CARS24 Assured,"Naroda, Ahmedabad"
2019 Maruti New Wagon-R,,₹4.00 lakh,1.3L km,Petrol,Manual,1st owner,Verified Owner,Rafiq Nagar Hapur
2013 Maruti Swift Dzire,LDI,₹1.67 lakh,1.1L km,Diesel,Manual,4th owner,Verified Owner,Naurangabad Aligarh UP
2022 Honda City,1.5L I-DTEC V,₹10.95 lakh,59.64k km,Diesel,Manual,1st owner,Verified Owner,Pattimattom Central Jumua Masjid Pattimattom Kerala
2012 Volkswagen Polo,,₹1.36 lakh,78.70k km,Diesel,Manual,3rd owner,Verified Owner,Muzaffarpur Muzaffarpur
2013 Hyundai i20,SPORTZ 1.4 CRDI,₹2.20 lakh,1.6L km,Diesel,Manual,1st owner,Verified Owner,Mazal Waddo Anjuna
2015 Ford Figo Aspire,,₹3.10 lakh,46.05k km,Petrol,Manual,1st owner,Verified Owner,Avinash Nagar Bhopal Madhya Pradesh
2019 Volkswagen Polo,CUP EDITION PETROL,₹4.40 lakh,46.95k km,Petrol,Manual,1st owner,Verified Owner,Ankleshwar GIDC Bharuch Gujarat
2018 Honda Amaze,1.5L I-DTEC E,₹4.75 lakh,58.62k km,Diesel,Manual,2nd owner,Verified Dealer,"Plot no-788/1355,Sum Hospital, Bhubaneswar"
2020 Renault TRIBER,RXZ,₹4.10 lakh,66.20k km,Petrol,Manual,3rd owner,Verified Owner,Barasat Kolkata
2011 Maruti Alto K10,VXI,₹0.75 lakh,86.50k km,Petrol,Manual,3rd owner,Verified Owner,Sector 18 Gurugram
2013 Maruti Swift,ZDI,₹2.13 lakh,1.1L km,Diesel,Manual,3rd owner,Verified Owner,Bhanpur Bhopal Madhya Pradesh
2015 Maruti Swift Dzire,VDI ABS,₹3.17 lakh,1.1L km,Diesel,Manual,3rd owner,Verified Owner,Anjar Meghpar Borichi Gujarat
2017 Tata Tiago,XT PETROL,₹2.49 lakh,1.2L km,Petrol,Manual,2nd owner,Verified Owner,Sector 26 Gandhinagar
2016 Maruti Celerio,VXI AMT,₹2.92 lakh,63.15k km,Petrol,Auto,1st owner,CARS24 Assured,"Gomti Nagar, Lucknow"
2011 Hyundai i20,MAGNA (O) 1.2,₹2.19 lakh,99.39k km,Petrol,Manual,2nd owner,Verified Owner,Ram Nagar Latur
2023 Maruti Ciaz,ALPHA AT 1.5 SHVS PETROL,₹7.00 lakh,25.46k km,Petrol,Auto,1st owner,Verified Owner,Batahguli Guwahati
2019 Maruti New Wagon-R,,₹3.97 lakh,22.26k km,Petrol,Auto,2nd owner,CARS24 Assured,"Gaur City mall, Multilevel parking, Greater Noida"
2015 Hyundai Grand i10,,₹2.70 lakh,72.50k km,Diesel,Manual,1st owner,Verified Owner,Ahirwan Kanpur Uttar Pradesh
2018 Tata TIGOR,XE DIESEL,₹3.80 lakh,56.48k km,Diesel,Manual,1st owner,Verified Dealer,"Shastri Nagar Govind Nagar, Kanpur"
2013 Maruti Wagon R 1.0,VXI,₹2.25 lakh,77.12k km,Petrol,Manual,1st owner,Verified Owner,Maharajpura Gwalior Madhya Pradesh
2016 Renault Kwid,RXT 0.8,₹2.38 lakh,1.0L km,Petrol,Manual,1st owner,Verified Owner,Kartikey Nagar Nashik Maharashtra
2010 Maruti Alto,LXI,₹1.42 lakh,1.0L km,Petrol,Manual,2nd owner,Verified Owner,Bishan Nagar Patiala
2020 Honda City,1.5L I-VTEC ZX CVT,₹10.20 lakh,39.26k km,Petrol,Auto,1st owner,CARS24 Assured,"Kandivali, Mumbai"
2010 Hyundai Verna,VGT CRDI 1.5,₹1.42 lakh,45.71k km,Diesel,Manual,3rd owner,Verified Owner,Radha Nagar Pandra Jharkhand
2019 Hyundai GRAND I10 NIOS,,₹4.77 lakh,42.87k km,CNG,Auto,1st owner,CARS24 Assured,"Dewas Naka, Lasudia Mori"
2012 Maruti Swift,VDI,₹2.16 lakh,1.1L km,Diesel,Manual,4th owner,Verified Owner,Railway Colony Mehsana
2013 Hyundai i20,SPORTZ 1.2,₹2.69 lakh,1.1L km,Petrol,Manual,2nd owner,Verified Owner,Vallabh Vidyanagar Anand
2018 Maruti Alto 800,LXI,₹2.50 lakh,1.8L km,Petrol,Manual,2nd owner,Verified Owner,Navi Peth Solapur
2014 Hyundai Eon,ERA +,₹1.90 lakh,80.75k km,Petrol,Manual,2nd owner,Verified Owner,Ranghavi Estate Vasco Da Gama
2014 Maruti Swift,VDI,₹4.95 lakh,88.13k km,Diesel,Manual,1st owner,Verified Dealer,"Lekha Nagar, Nashik"
2018 Tata TIGOR,XZA PETROL,₹6.00 lakh,1.2L km,Petrol,Auto,1st owner,Verified Owner,Thiruvanchoor Kottayam Kerala
2012 Maruti Wagon R 1.0,VXI,₹1.42 lakh,1.8L km,Petrol,Manual,1st owner,Verified Owner,Jalaram Nagar Ankleshwar Gujarat
2022 Toyota Innova Crysta,,₹17.48 lakh,84.13k km,Diesel,Auto,1st owner,CARS24 Assured,"M3M Urbana, Golf Course Ext., Gurugram"
2015 Hyundai Elite i20,ASTA 1.2,₹4.35 lakh,94.00k km,Petrol,Manual,2nd owner,CARS24 Assured,"Amanora Mall apex building, Pune"
2012 Mahindra Bolero,SLX BS-III,₹1.88 lakh,81.13k km,Diesel,Manual,5th owner,Verified Owner,Basni Jodhpur
2011 Maruti Wagon R 1.0,VXI,₹1.80 lakh,77.47k km,Petrol,Manual,1st owner,Verified Owner,Nizampur New Delhi
2015 Maruti Swift Dzire,LDI,₹2.50 lakh,58.40k km,Diesel,Manual,1st owner,Verified Owner,Mandi Area Bhiwani
2020 Renault Kwid,RXT 1.0 AMT (O),₹2.99 lakh,43.67k km,Petrol,Auto,1st owner,Verified Owner,Basisthpur Guwahati Assam
2019 Renault Kwid,RXT 1.0 (O),₹3.60 lakh,72.40k km,Petrol,Manual,1st owner,Verified Dealer,"Lekha Nagar, Nashik"
2022 Mahindra Thar,LX D 4WD AT CONVERTIBLE,₹10.59 lakh,31.23k km,Diesel,Auto,2nd owner,CARS24 Assured,"Gomti Nagar, Lucknow"
2024 Maruti Alto K10,VXi Plus (O) AGS,₹5.76 lakh,4.45k km,Petrol,Auto,1st owner,CARS24 Assured,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore"
2012 Honda City,1.5L I-VTEC S MT,₹2.21 lakh,45.15k km,Petrol,Manual,1st owner,Verified Owner,Bani Park Jaipur
2011 Hyundai Santro Xing,XO,₹0.68 lakh,1.7L km,Petrol,Manual,5th owner,Verified Owner,Rafiq Nagar Hapur Uttar Pradesh
2018 Maruti Dzire,VDI AMT,₹5.42 lakh,1.2L km,Diesel,Auto,1st owner,Verified Owner,Anand Vihar Hapur Uttar Pradesh
2016 Hyundai Eon,ERA +,₹1.95 lakh,64.91k km,Petrol,Manual,1st owner,Verified Owner,S.S Nagar Aligarh Uttar Pradesh
2016 Hyundai Verna,1.6 VTVT SX AT,₹3.59 lakh,94.41k km,Petrol,Auto,2nd owner,Verified Owner,Changurabhata Raipur Chhattisgarh
2018 Tata Tiago,XT PETROL,₹3.14 lakh,96.40k km,Petrol,Manual,2nd owner,Verified Owner,RadhaKrishna Nagar Gondal Gujarat
