Brand,Model,Price,Kms_driven,Fuel_type,Transmission,Ownership,Rating,State
2022 KIA CARENS,PRESTIGE 1.4 PETROL 7 STR,₹11.61 lakh,35.45k km,Petrol,Manual,1st owner,CARS24 Assured,"Bachupally, Hyderabad"
2022 Tata Tiago,XZ PLUS CNG,₹6.00 lakh,43.35k km,CNG,Manual,1st owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2017 Mahindra Kuv100,K2 D 6 STR,₹2.67 lakh,1.1L km,Diesel,Manual,1st owner,Verified Owner,Bulandshahr Road Industrial Area Ghaziabad
2016 Hyundai Elite i20,ASTA 1.2,₹4.77 lakh,63.57k km,Petrol,Manual,2nd owner,CARS24 Assured,"Tathawade, Pune"
2024 Tata PUNCH,,₹6.66 lakh,2.56k km,Petrol,Auto,1st owner,Verified Owner,Shivamscocity Vansda
2023 Maruti FRONX,DELTA PLUS 1.2L AGS,₹7.53 lakh,9.19k km,Petrol,Auto,1st owner,CARS24 Assured,"Tathawade, Pune"
2016 Hyundai Creta,SX PLUS 1.6 PETROL,₹6.85 lakh,37.51k km,Petrol,Manual,1st owner,CARS24 Assured,Rajouri Garden
2017 Mahindra TUV300,T10 DUAL TONE,₹5.39 lakh,87.88k km,Diesel,Manual,2nd owner,Verified Owner,Alwar Bhakhera Rajasthan
2014 Honda Amaze,1.2L I-VTEC S,₹3.67 lakh,49.34k km,Petrol,Manual,1st owner,CARS24 Assured,"Bachupally, Hyderabad"
2014 Hyundai Xcent,S (O) 1.2,₹3.22 lakh,1.0L km,Petrol,Manual,2nd owner,CARS24 Assured,"Upperpally, Attapur, Hyderabad"
2016 Volkswagen Ameo,,₹3.34 lakh,54.08k km,Petrol,Manual,1st owner,CARS24 Assured,"Regency Anantam, Dombivli East"
2019 Tata Tiago,XE DIESEL,₹2.50 lakh,2.9L km,Diesel,Manual,1st owner,Verified Owner,Krishna Colony Bhiwani Haryana
2012 Hyundai i10,MAGNA 1.2,₹1.78 lakh,34.90k km,Petrol,Manual,1st owner,CARS24 Assured,"Gaur City mall, Multilevel parking, Greater Noida"
2015 Honda Amaze,1.2L I-VTEC S,₹3.60 lakh,86.21k km,Petrol,Manual,1st owner,CARS24 Assured,"Mansarovar, Jaipur"
2017 Hyundai Elite i20,ASTA 1.2 DUAL TONE,₹6.45 lakh,12.73k km,Petrol,Manual,1st owner,CARS24 Assured,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
2021 Renault TRIBER,RXZ,₹5.60 lakh,26.47k km,Petrol,Manual,1st owner,CARS24 Assured,"Sector-18, Noida"
2014 Hyundai Xcent,SX 1.1 CRDI (O),₹2.30 lakh,1.1L km,Diesel,Manual,2nd owner,Verified Owner,Model Town pashe 2
2021 Maruti Baleno,ZETA PETROL 1.2,₹7.06 lakh,31.23k km,Petrol,Manual,1st owner,CARS24 Assured,Nexus Whitefield
2020 Maruti New Wagon-R,,₹4.74 lakh,32.18k km,Petrol,Manual,1st owner,CARS24 Assured,"Maharishi Puram, Agra"
2017 Maruti Wagon R 1.0,VXI AMT,₹3.61 lakh,44.39k km,Petrol,Auto,1st owner,CARS24 Assured,"Akshar Party, Rajkot"
2015 Maruti Ciaz,ZDI+ SHVS,₹4.00 lakh,93.08k km,Diesel,Manual,2nd owner,Verified Owner,Ankleshwar Piraman Gujarat
2015 Hyundai Grand i10,ASTA (O) 1.2 KAPPA VTVT,₹3.43 lakh,53.84k km,Petrol,Manual,2nd owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2015 Honda City,1.5L I-VTEC VX CVT,₹5.85 lakh,63.16k km,Petrol,Auto,1st owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2017 Volkswagen Ameo,,₹3.39 lakh,83.80k km,Petrol,Manual,1st owner,CARS24 Assured,"Sachin Magdalla Road, Surat"
